,fold,model,mcc,auc,type
9,3,LR,0.3701824978,0.7474937343,SMOTE_over
12,4,LR,0.2367737326,0.6537176274,SMOTE_over
0,0,KNN,0.2275343305,0.7140780731,SMOTE_over
3,1,KNN,0.1710398395,0.6173172757,SMOTE_over
6,2,KNN,0.2676579679,0.7271627344,SMOTE_over
9,3,KNN,0.3389934682,0.7209690894,SMOTE_over
12,4,KNN,0.3483487255,0.7909356725,SMOTE_over
0,0,DT,0.0893558789,0.5784883721,SMOTE_over
3,1,DT,0.1495393995,0.5994601329,SMOTE_over
6,2,DT,0.1132443231,0.593768905,SMOTE_over
9,3,DT,0.0576360747,0.5251670844,SMOTE_over
12,4,DT,0.0537464279,0.5302840434,SMOTE_over
0,0,SVMR,0.2793667276,0.7242524917,SMOTE_over
3,1,SVMR,0.3615858264,0.7134551495,SMOTE_over
6,2,SVMR,0.3627088969,0.7890703771,SMOTE_over
9,3,SVMR,0.3129046834,0.6904761905,SMOTE_over
12,4,SVMR,0.3770512069,0.8040935673,SMOTE_over
0,0,SVML,0.38369468,0.7234219269,SMOTE_over
3,1,SVML,0.3772637073,0.8151993355,SMOTE_over
6,2,SVML,0.3501641994,0.7806009276,SMOTE_over
9,3,SVML,0.3799040461,0.8072263993,SMOTE_over
12,4,SVML,0.2470031209,0.6940267335,SMOTE_over
0,0,RF,0.2726384611,0.7209302326,SMOTE_over
3,1,RF,0.2562741031,0.7120016611,SMOTE_over
6,2,RF,0.2528649239,0.661020367,SMOTE_over
9,3,RF,0.311125499,0.7262949039,SMOTE_over
12,4,RF,0.2127712904,0.6809732665,SMOTE_over
0,0,XG,0.225361118,0.7352574751,SMOTE_over
3,1,XG,0.1746755202,0.6364202658,SMOTE_over
6,2,XG,0.2076510055,0.715466828,SMOTE_over
9,3,XG,0.2813961143,0.7105263158,SMOTE_over
12,4,XG,0.1531336639,0.7063492063,SMOTE_over
0,0,LR,0.3157940741,0.783845515,TADA
3,1,LR,0.3157940741,0.7724252492,TADA
6,2,LR,0.1489523908,0.6547691067,TADA
9,3,LR,0.4209482192,0.831871345,TADA
12,4,LR,0.3389934682,0.7414369256,TADA
0,0,KNN,0.3198519712,0.7514534884,TADA
3,1,KNN,0.2240879079,0.6573920266,TADA
6,2,KNN,0.2118678673,0.6991328897,TADA
9,3,KNN,0.2730727231,0.6983082707,TADA
12,4,KNN,0.2023384322,0.725459482,TADA
0,0,DT,0.099050727,0.5552325581,TADA
3,1,DT,0.2165135047,0.6271802326,TADA
6,2,DT,0.1174946525,0.5794515023,TADA
9,3,DT,0.1772206542,0.6222848789,TADA
12,4,DT,0.1448681328,0.6327276525,TADA
0,0,SVMR,0.4544381156,0.7896594684,TADA
3,1,SVMR,0.2232350489,0.7317275748,TADA
6,2,SVMR,0.4152326685,0.8185117967,TADA
9,3,SVMR,0.2653835867,0.7292188805,TADA
12,4,SVMR,0.2405718428,0.6937134503,TADA
0,0,SVML,0.3713124175,0.7865448505,TADA
3,1,SVML,0.2939726793,0.7446013289,TADA
6,2,SVML,0.5172920692,0.8527929018,TADA
9,3,SVML,0.2770741046,0.6476608187,TADA
12,4,SVML,0.3055736035,0.7962614871,TADA
0,0,RF,0.2387144598,0.747404485,TADA
3,1,RF,0.2396406105,0.6899916944,TADA
6,2,RF,0.1794314278,0.7430933656,TADA
9,3,RF,0.2523882902,0.7089598997,TADA
12,4,RF,0.1348435359,0.7241019215,TADA
0,0,XG,0.2725100818,0.6812707641,TADA
3,1,XG,0.0423694906,0.6762873754,TADA
6,2,XG,0.1786125664,0.7626537608,TADA
9,3,XG,0.1954533664,0.7303675856,TADA
12,4,XG,0.2290585294,0.7343358396,TADA
0,0,LR,0.1873053158,0.7890365449,DEFAULT
3,1,LR,0.1482146788,0.7641196013,DEFAULT
6,2,LR,0.0252267161,0.6811857229,DEFAULT
9,3,LR,0.0643295481,0.7395572264,DEFAULT
12,4,LR,0.0796296238,0.7984544695,DEFAULT
0,0,KNN,0.2903842563,0.6643480066,DEFAULT
3,1,KNN,0.2818995422,0.7236295681,DEFAULT
6,2,KNN,0.1533789563,0.7457148619,DEFAULT
9,3,KNN,0.2676586162,0.7542815372,DEFAULT
12,4,KNN,-0.0558776051,0.5068922306,DEFAULT
0,0,DT,0.1824584653,0.6135797342,DEFAULT
3,1,DT,0.1482146788,0.7003737542,DEFAULT
6,2,DT,0.0539863773,0.6215970962,DEFAULT
9,3,DT,0,0.691833751,DEFAULT
12,4,DT,0.2490009043,0.6599832916,DEFAULT
0,0,SVMR,0,0.6384966777,DEFAULT
3,1,SVMR,0,0.6360049834,DEFAULT
6,2,SVMR,0,0.7315991127,DEFAULT
9,3,SVMR,0,0.6802422723,DEFAULT
12,4,SVMR,0,0.6581035923,DEFAULT
0,0,SVML,0,0.7049418605,DEFAULT
3,1,SVML,0,0.7080564784,DEFAULT
6,2,SVML,0,0.5849969752,DEFAULT
9,3,SVML,0,0.6553884712,DEFAULT
12,4,SVML,0,0.720342523,DEFAULT
0,0,RF,0.0979869536,0.7753322259,DEFAULT
3,1,RF,0.158383688,0.8014950166,DEFAULT
6,2,RF,0.2605558263,0.7320024198,DEFAULT
9,3,RF,0.1053783245,0.6920426065,DEFAULT
12,4,RF,0.2619483947,0.7077067669,DEFAULT
0,0,XG,0,0.5,DEFAULT
3,1,XG,0,0.5,DEFAULT
6,2,XG,-0.0115946413,0.7769711635,DEFAULT
9,3,XG,0.1550841749,0.6988304094,DEFAULT
12,4,XG,0.2127712904,0.7811194653,DEFAULT
0,0,LR,0.2389795317,0.7468853821,ADASYN_over
3,1,LR,0.2091668218,0.6530315615,ADASYN_over
6,2,LR,0.4033838014,0.7975398266,ADASYN_over
9,3,LR,0.3770512069,0.8316624896,ADASYN_over
12,4,LR,0.2752516768,0.6771094403,ADASYN_over
0,0,KNN,0.2427156438,0.6990240864,ADASYN_over
3,1,KNN,0.12226123,0.6196013289,ADASYN_over
6,2,KNN,0.2459405102,0.7141560799,ADASYN_over
9,3,KNN,0.1697998215,0.6430659983,ADASYN_over
12,4,KNN,0.1310195302,0.6242690058,ADASYN_over
0,0,DT,0.0614924049,0.5215946844,ADASYN_over
3,1,DT,0.1976934175,0.6662167774,ADASYN_over
6,2,DT,0.122979742,0.574107683,ADASYN_over
9,3,DT,0.2383574162,0.6703216374,ADASYN_over
12,4,DT,0.1430692018,0.5963868003,ADASYN_over
0,0,SVMR,0.2174703105,0.6860465116,ADASYN_over
3,1,SVMR,0.3187914149,0.7985880399,ADASYN_over
6,2,SVMR,0.2071466914,0.6751361162,ADASYN_over
9,3,SVMR,0.3389934682,0.7804928989,ADASYN_over
12,4,SVMR,0.2621667372,0.7046783626,ADASYN_over
0,0,SVML,0.267854843,0.7032807309,ADASYN_over
3,1,SVML,0.3397333627,0.7792774086,ADASYN_over
6,2,SVML,0.418656835,0.7916918734,ADASYN_over
9,3,SVML,0.216423937,0.7233709273,ADASYN_over
12,4,SVML,0.2718122712,0.7251461988,ADASYN_over
0,0,RF,0.1937059254,0.6681893688,ADASYN_over
3,1,RF,0.1439675904,0.6792981728,ADASYN_over
6,2,RF,0.2737310743,0.7775761242,ADASYN_over
9,3,RF,0.1687552214,0.6633249791,ADASYN_over
12,4,RF,0.179947565,0.7379908104,ADASYN_over
0,0,XG,0.2955799471,0.6515780731,ADASYN_over
3,1,XG,0.0923950081,0.6160714286,ADASYN_over
6,2,XG,0.0793946854,0.6864287155,ADASYN_over
9,3,XG,0.177289535,0.6994569758,ADASYN_over
12,4,XG,0.2523720477,0.7621136174,ADASYN_over
0,0,LR,0.3333135574,0.7641196013,ADASYN_both
3,1,LR,0.207740713,0.6845930233,ADASYN_both
6,2,LR,0.3062410822,0.7402702158,ADASYN_both
9,3,LR,0.3252522901,0.734962406,ADASYN_both
12,4,LR,0.3185255722,0.7255639098,ADASYN_both
0,0,KNN,0.2272975013,0.7259136213,ADASYN_both
3,1,KNN,0.1152604448,0.6205357143,ADASYN_both
6,2,KNN,0.1275410539,0.6428715467,ADASYN_both
9,3,KNN,0.2033477295,0.664160401,ADASYN_both
12,4,KNN,0.2346541209,0.7015455305,ADASYN_both
0,0,DT,0.083208609,0.6213662791,ADASYN_both
3,1,DT,0.0998337488,0.5648878738,ADASYN_both
6,2,DT,0.1289200739,0.6177656786,ADASYN_both
9,3,DT,0.0757641133,0.5963868003,ADASYN_both
12,4,DT,0.0882681139,0.6006683375,ADASYN_both
0,0,SVMR,0.283121884,0.7178156146,ADASYN_both
3,1,SVMR,0.2618795921,0.7099252492,ADASYN_both
6,2,SVMR,0.2629644457,0.7406735229,ADASYN_both
9,3,SVMR,0.4285482525,0.8218462824,ADASYN_both
12,4,SVMR,0.2674694804,0.704887218,ADASYN_both
0,0,SVML,0.3029428507,0.7678571429,ADASYN_both
3,1,SVML,0.3500525485,0.7450166113,ADASYN_both
6,2,SVML,0.2958964572,0.7176850171,ADASYN_both
9,3,SVML,0.3129046834,0.7633667502,ADASYN_both
12,4,SVML,0.2465978346,0.7326649958,ADASYN_both
0,0,RF,0.1788706687,0.7337001661,ADASYN_both
3,1,RF,0.114997004,0.6526162791,ADASYN_both
6,2,RF,0.1915734893,0.7257511595,ADASYN_both
9,3,RF,0.2603496289,0.692251462,ADASYN_both
12,4,RF,0.2495332198,0.6508980785,ADASYN_both
0,0,XG,0.2591390646,0.737333887,ADASYN_both
3,1,XG,0.2931036623,0.7340116279,ADASYN_both
6,2,XG,0.1688845032,0.6827989514,ADASYN_both
9,3,XG,0.2583825924,0.7094820384,ADASYN_both
12,4,XG,0.1780790928,0.6748120301,ADASYN_both
0,0,LR,0.1969103059,0.6656976744,SMOTE_both
3,1,LR,0.1921665535,0.7140780731,SMOTE_both
6,2,LR,0.3509379854,0.7660818713,SMOTE_both
9,3,LR,0.3917004349,0.7449874687,SMOTE_both
12,4,LR,0.3265260018,0.7514619883,SMOTE_both
0,0,KNN,0.2240879079,0.6488787375,SMOTE_both
3,1,KNN,0.1708862351,0.6131644518,SMOTE_both
6,2,KNN,0.2766446938,0.7499495866,SMOTE_both
9,3,KNN,0.1692975547,0.6363826232,SMOTE_both
12,4,KNN,0.2768245226,0.7643065998,SMOTE_both
0,0,DT,0.1082905446,0.5665490033,SMOTE_both
3,1,DT,0.2578691369,0.717192691,SMOTE_both
6,2,DT,0.032598038,0.5195603952,SMOTE_both
9,3,DT,0.2811028284,0.6986215539,SMOTE_both
12,4,DT,0.0131683474,0.5608813701,SMOTE_both
0,0,SVMR,0.3029428507,0.8085548173,SMOTE_both
3,1,SVMR,0.3062290863,0.7441860465,SMOTE_both
6,2,SVMR,0.2206837027,0.599717685,SMOTE_both
9,3,SVMR,0.3389934682,0.7606516291,SMOTE_both
12,4,SVMR,0.3415942527,0.7627401838,SMOTE_both
0,0,SVML,0.2777357722,0.7900747508,SMOTE_both
3,1,SVML,0.2502388901,0.6814784053,SMOTE_both
6,2,SVML,0.2869527313,0.7074006856,SMOTE_both
9,3,SVML,0.3902524714,0.8178780284,SMOTE_both
12,4,SVML,0.2237728788,0.7239974937,SMOTE_both
0,0,RF,0.177662415,0.658326412,SMOTE_both
3,1,RF,0.1533505243,0.6469061462,SMOTE_both
6,2,RF,0.3166692821,0.7733413995,SMOTE_both
9,3,RF,0.311125499,0.7134502924,SMOTE_both
12,4,RF,0.2978928,0.7865497076,SMOTE_both
0,0,XG,0.1520568065,0.5819144518,SMOTE_both
3,1,XG,0.177662415,0.7003737542,SMOTE_both
6,2,XG,0.3523627545,0.8073200242,SMOTE_both
9,3,XG,0.1526289056,0.7040517962,SMOTE_both
12,4,XG,0.2513445895,0.6549707602,SMOTE_both
0,0,LR,0.1867264814,0.6650747508,SMOTE_over
3,1,LR,0.3388550383,0.7593438538,SMOTE_over
6,2,LR,0.3157916331,0.7307924985,SMOTE_over
9,3,LR,0.3447065383,0.7669172932,SMOTE_over
12,4,LR,0.3320224936,0.8324979114,SMOTE_over
0,0,KNN,0.1934703757,0.6906146179,SMOTE_over
3,1,KNN,0.1865796414,0.6841777409,SMOTE_over
6,2,KNN,0.2739918945,0.7078039927,SMOTE_over
9,3,KNN,0.1750229626,0.6720969089,SMOTE_over
12,4,KNN,0.0934852942,0.5977443609,SMOTE_over
0,0,DT,0.1014141558,0.5613579734,SMOTE_over
3,1,DT,0.1457574574,0.583160299,SMOTE_over
6,2,DT,0.1123667704,0.5943738657,SMOTE_over
9,3,DT,0.0032034722,0.5200501253,SMOTE_over
12,4,DT,0.1334431733,0.6507936508,SMOTE_over
0,0,SVMR,0.1441107634,0.685423588,SMOTE_over
3,1,SVMR,0.3709533447,0.8235049834,SMOTE_over
6,2,SVMR,0.2206837027,0.7019560395,SMOTE_over
9,3,SVMR,0.2791469463,0.7144945698,SMOTE_over
12,4,SVMR,0.4060841695,0.7669172932,SMOTE_over
0,0,SVML,0.27394028,0.7230066445,SMOTE_over
3,1,SVML,0.4641596702,0.8158222591,SMOTE_over
6,2,SVML,0.4415891878,0.8146803791,SMOTE_over
9,3,SVML,0.2589975143,0.7205513784,SMOTE_over
12,4,SVML,0.1486772489,0.6783625731,SMOTE_over
0,0,RF,0.2500943646,0.7335963455,SMOTE_over
3,1,RF,0.1170654472,0.6161752492,SMOTE_over
6,2,RF,0.3157916331,0.7127445049,SMOTE_over
9,3,RF,0.1338606082,0.6754385965,SMOTE_over
12,4,RF,0.2826623797,0.7826858814,SMOTE_over
0,0,XG,0.3355481728,0.7842607973,SMOTE_over
3,1,XG,0.2017366462,0.7051495017,SMOTE_over
6,2,XG,0.1093157699,0.6630369026,SMOTE_over
9,3,XG,0.2446280075,0.6812865497,SMOTE_over
12,4,XG,0.1902826368,0.6936090226,SMOTE_over
0,0,LR,0.3045779004,0.7190614618,TADA
3,1,LR,0.3129161449,0.7456395349,TADA
6,2,LR,0.2353697629,0.6670699738,TADA
9,3,LR,0.2346541209,0.7416457811,TADA
12,4,LR,0.3185255722,0.7967836257,TADA
0,0,KNN,0.1549702771,0.6184593023,TADA
3,1,KNN,0.2929995208,0.7485465116,TADA
6,2,KNN,0.2318259678,0.6840088728,TADA
9,3,KNN,0.2110012195,0.6587301587,TADA
12,4,KNN,0.2609770113,0.7823725982,TADA
0,0,DT,0.122207305,0.5870016611,TADA
3,1,DT,0.1045247089,0.552429402,TADA
6,2,DT,0.149105013,0.6240169389,TADA
9,3,DT,0.1869188872,0.660192147,TADA
12,4,DT,0.0982530619,0.5519005848,TADA
0,0,SVMR,0.2819950944,0.7344269103,TADA
3,1,SVMR,0.3410329869,0.720307309,TADA
6,2,SVMR,0.3349399921,0.7118370639,TADA
9,3,SVMR,0.3019799466,0.7550125313,TADA
12,4,SVMR,0.2473638533,0.7307852966,TADA
0,0,SVML,0.2267945688,0.7429401993,TADA
3,1,SVML,0.345442543,0.7586171096,TADA
6,2,SVML,0.3267098486,0.7584190361,TADA
9,3,SVML,0.3219489586,0.7178362573,TADA
12,4,SVML,0.3729791423,0.8151629073,TADA
0,0,RF,0.1586548164,0.707641196,TADA
3,1,RF,0.2903842563,0.70660299,TADA
6,2,RF,0.2113094721,0.7647711232,TADA
9,3,RF,0.2815667603,0.720342523,TADA
12,4,RF,0.1747014381,0.7046783626,TADA
0,0,XG,0.2021699722,0.7481312292,TADA
3,1,XG,0.0384695898,0.6492940199,TADA
6,2,XG,0.4025456976,0.7592256503,TADA
9,3,XG,0.1518488598,0.7241019215,TADA
12,4,XG,0.1607805643,0.7069757728,TADA
0,0,LR,0.0687576476,0.6949750831,DEFAULT
3,1,LR,0.2443264917,0.717192691,DEFAULT
6,2,LR,0.1333383746,0.7045775358,DEFAULT
9,3,LR,0.1041144132,0.7249373434,DEFAULT
12,4,LR,0.1871388318,0.7042606516,DEFAULT
0,0,KNN,0.1870446633,0.6208471761,DEFAULT
3,1,KNN,0.0687576476,0.6554194352,DEFAULT
6,2,KNN,0.149803092,0.680681589,DEFAULT
9,3,KNN,0.3313990768,0.7098997494,DEFAULT
12,4,KNN,0.2596651628,0.7418546366,DEFAULT
0,0,DT,0.1274238641,0.6863579734,DEFAULT
3,1,DT,0.3227965179,0.7154277409,DEFAULT
6,2,DT,0.2178339242,0.6966122202,DEFAULT
9,3,DT,0.1715306482,0.6563283208,DEFAULT
12,4,DT,0.0976779386,0.6777360067,DEFAULT
0,0,SVMR,0,0.6231312292,DEFAULT
3,1,SVMR,0,0.5982142857,DEFAULT
6,2,SVMR,0,0.2817100222,DEFAULT
9,3,SVMR,0.1756250433,0.6017126149,DEFAULT
12,4,SVMR,-0.028757317,0.6697994987,DEFAULT
0,0,SVML,0,0.5153654485,DEFAULT
3,1,SVML,0,0.595307309,DEFAULT
6,2,SVML,0,0.6614236741,DEFAULT
9,3,SVML,0,0.5394736842,DEFAULT
12,4,SVML,0,0.6466165414,DEFAULT
0,0,RF,0.3989888053,0.6586378738,DEFAULT
3,1,RF,0.2367914544,0.6953903654,DEFAULT
6,2,RF,0.1846093838,0.7255495059,DEFAULT
9,3,RF,0.1821905897,0.6996658312,DEFAULT
12,4,RF,0.1147240347,0.6673976608,DEFAULT
0,0,XG,0.0204390389,0.48785299,DEFAULT
3,1,XG,0.1719029399,0.7572674419,DEFAULT
6,2,XG,0.1127243396,0.6631377294,DEFAULT
9,3,XG,0.0235467156,0.5398913952,DEFAULT
12,4,XG,0,0.5,DEFAULT
0,0,LR,0.3081528808,0.7508305648,ADASYN_over
3,1,LR,0.2427156438,0.7007890365,ADASYN_over
6,2,LR,0.3386351976,0.7491429724,ADASYN_over
9,3,LR,0.3447065383,0.7903091061,ADASYN_over
12,4,LR,0.2821393223,0.6934001671,ADASYN_over
0,0,KNN,0.1821808435,0.655730897,ADASYN_over
3,1,KNN,0.1249687107,0.602263289,ADASYN_over
6,2,KNN,0.1132443231,0.6194797338,ADASYN_over
9,3,KNN,0.2416445959,0.6917293233,ADASYN_over
12,4,KNN,0.1303120504,0.6408730159,ADASYN_over
0,0,DT,0.103440224,0.572051495,ADASYN_over
3,1,DT,0.1813690118,0.6322674419,ADASYN_over
6,2,DT,0.2008294817,0.6245210728,ADASYN_over
9,3,DT,0.0313239081,0.5888680033,ADASYN_over
12,4,DT,0.1211620366,0.5788429407,ADASYN_over
0,0,SVMR,0.3393559559,0.7678571429,ADASYN_over
3,1,SVMR,0.2995012465,0.7159468439,ADASYN_over
6,2,SVMR,0.3020366616,0.7650736035,ADASYN_over
9,3,SVMR,0.1897422476,0.6835839599,ADASYN_over
12,4,SVMR,0.1755700822,0.7138680033,ADASYN_over
0,0,SVML,0.345442543,0.7049418605,ADASYN_over
3,1,SVML,0.371923656,0.7925664452,ADASYN_over
6,2,SVML,0.3696109938,0.74107683,ADASYN_over
9,3,SVML,0.2987030401,0.7944862155,ADASYN_over
12,4,SVML,0.1856972636,0.6909983292,ADASYN_over
0,0,RF,0.2840201633,0.6917566445,ADASYN_over
3,1,RF,0.4309557888,0.7413828904,ADASYN_over
6,2,RF,0.1878546589,0.6041540633,ADASYN_over
9,3,RF,0.2246882172,0.5946115288,ADASYN_over
12,4,RF,0.177289535,0.5888680033,ADASYN_over
0,0,XG,0.2201163618,0.6943521595,ADASYN_over
3,1,XG,0.177662415,0.6862541528,ADASYN_over
6,2,XG,0.2129887175,0.6267392619,ADASYN_over
9,3,XG,0.1082443532,0.5639097744,ADASYN_over
12,4,XG,0.2002805853,0.6589390142,ADASYN_over
0,0,LR,0.2598550016,0.7273671096,ADASYN_both
3,1,LR,0.4212689971,0.8380398671,ADASYN_both
6,2,LR,0.3263384795,0.7255495059,ADASYN_both
9,3,LR,0.2270572443,0.6278195489,ADASYN_both
12,4,LR,0.2874068386,0.768588137,ADASYN_both
0,0,KNN,0.0861542719,0.5681063123,ADASYN_both
3,1,KNN,0.2434224649,0.6802325581,ADASYN_both
6,2,KNN,0.2098719357,0.684815487,ADASYN_both
9,3,KNN,0.113761734,0.6405597327,ADASYN_both
12,4,KNN,0.1808587302,0.6986215539,ADASYN_both
0,0,DT,0.1710398395,0.6218853821,ADASYN_both
3,1,DT,0.169165148,0.6453488372,ADASYN_both
6,2,DT,0.1007303537,0.6376285541,ADASYN_both
9,3,DT,0.1284940552,0.5656850459,ADASYN_both
12,4,DT,0.1545441045,0.6243734336,ADASYN_both
0,0,SVMR,0.4150071637,0.7823920266,ADASYN_both
3,1,SVMR,0.3586733066,0.7674418605,ADASYN_both
6,2,SVMR,0.2654544348,0.7051824965,ADASYN_both
9,3,SVMR,0.3447065383,0.7773600668,ADASYN_both
12,4,SVMR,0.1906333431,0.6501670844,ADASYN_both
0,0,SVML,0.3305272366,0.7589285714,ADASYN_both
3,1,SVML,0.2618795921,0.7495847176,ADASYN_both
6,2,SVML,0.3411138322,0.8094373866,ADASYN_both
9,3,SVML,0.3773719028,0.7762113617,ADASYN_both
12,4,SVML,0.1700227436,0.645154553,ADASYN_both
0,0,RF,0.2313346019,0.6476328904,ADASYN_both
3,1,RF,0.1129951232,0.6312292359,ADASYN_both
6,2,RF,0.2506048438,0.6847146602,ADASYN_both
9,3,RF,0.2446280075,0.6466165414,ADASYN_both
12,4,RF,0.2078599006,0.6929824561,ADASYN_both
0,0,XG,0.3002160477,0.7124169435,ADASYN_both
3,1,XG,0.1351715425,0.6090116279,ADASYN_both
6,2,XG,0.2318259678,0.6809840694,ADASYN_both
9,3,XG,0.3379661524,0.7443609023,ADASYN_both
12,4,XG,0.0726337733,0.6313700919,ADASYN_both
0,0,LR,0.1387077043,0.6368355482,SMOTE_both
3,1,LR,0.3521672876,0.7707641196,SMOTE_both
6,2,LR,0.3875183572,0.8421052632,SMOTE_both
9,3,LR,0.3252522901,0.7598162072,SMOTE_both
12,4,LR,0.2226507398,0.7032163743,SMOTE_both
0,0,KNN,0.1181742342,0.6131644518,SMOTE_both
3,1,KNN,0.1888105396,0.6928986711,SMOTE_both
6,2,KNN,0.1796608278,0.6757410768,SMOTE_both
9,3,KNN,0.2033477295,0.6950710109,SMOTE_both
12,4,KNN,0.2752516768,0.7591896408,SMOTE_both
0,0,DT,0.0188668051,0.5478612957,SMOTE_both
3,1,DT,0.1116533843,0.6262458472,SMOTE_both
6,2,DT,0.2375289497,0.69348659,SMOTE_both
9,3,DT,0.018087877,0.5161862991,SMOTE_both
12,4,DT,0.0706306629,0.5550334169,SMOTE_both
0,0,SVMR,0.4090199117,0.7811461794,SMOTE_both
3,1,SVMR,0.3590362999,0.7720099668,SMOTE_both
6,2,SVMR,0.2045703901,0.6977213148,SMOTE_both
9,3,SVMR,0.2994645447,0.751566416,SMOTE_both
12,4,SVMR,0.1654252263,0.6628028404,SMOTE_both
0,0,SVML,0.2453657347,0.7390988372,SMOTE_both
3,1,SVML,0.3881130234,0.7618355482,SMOTE_both
6,2,SVML,0.4592184487,0.7959265981,SMOTE_both
9,3,SVML,0.2653835867,0.7302631579,SMOTE_both
12,4,SVML,0.2858597384,0.7170008354,SMOTE_both
0,0,RF,0.2622842472,0.7128322259,SMOTE_both
3,1,RF,0.2340613265,0.6455564784,SMOTE_both
6,2,RF,0.1849272053,0.6105061504,SMOTE_both
9,3,RF,0.3922643834,0.7443609023,SMOTE_both
12,4,RF,0.238677345,0.6943400167,SMOTE_both
0,0,XG,0.2902009604,0.7365033223,SMOTE_both
3,1,XG,0.2235423653,0.6808554817,SMOTE_both
6,2,XG,0.2377709916,0.6281508369,SMOTE_both
9,3,XG,0.3099160301,0.7380952381,SMOTE_both
12,4,XG,0.0855335249,0.6388888889,SMOTE_both
0,0,LR,0.2801414952,0.7095099668,SMOTE_over
3,1,LR,0.2662233303,0.7205149502,SMOTE_over
6,2,LR,0.3639235886,0.7638636822,SMOTE_over
9,3,LR,0.2856316496,0.7525062657,SMOTE_over
12,4,LR,0.2994645447,0.7036340852,SMOTE_over
0,0,KNN,0.1523748334,0.6314368771,SMOTE_over
3,1,KNN,0.0966754136,0.5940614618,SMOTE_over
6,2,KNN,0.0405812444,0.5899374874,SMOTE_over
9,3,KNN,0.0741102344,0.5944026734,SMOTE_over
12,4,KNN,0.2527726311,0.6840016708,SMOTE_over
0,0,DT,0.3805865564,0.7667151163,SMOTE_over
3,1,DT,0.150750678,0.6063122924,SMOTE_over
6,2,DT,0.2091379901,0.6438798145,SMOTE_over
9,3,DT,0.2371022285,0.6830618212,SMOTE_over
12,4,DT,-0.0645754412,0.5142021721,SMOTE_over
0,0,SVMR,0.3713124175,0.76910299,SMOTE_over
3,1,SVMR,0.2820971321,0.6679817276,SMOTE_over
6,2,SVMR,0.2882043572,0.6950998185,SMOTE_over
9,3,SVMR,0.1492679093,0.6804511278,SMOTE_over
12,4,SVMR,0.3266153796,0.7608604845,SMOTE_over
0,0,SVML,0.2864644354,0.7427325581,SMOTE_over
3,1,SVML,0.3735707984,0.740448505,SMOTE_over
6,2,SVML,0.307320355,0.7624521073,SMOTE_over
9,3,SVML,0.2465978346,0.7157477026,SMOTE_over
12,4,SVML,0.4204153584,0.780075188,SMOTE_over
0,0,RF,0.1641410229,0.6503322259,SMOTE_over
3,1,RF,0.2088593041,0.7120016611,SMOTE_over
6,2,RF,0.2737310743,0.6654567453,SMOTE_over
9,3,RF,0.1701314075,0.6182121972,SMOTE_over
12,4,RF,0.2616929261,0.7355889724,SMOTE_over
0,0,XG,0.1059117622,0.5982142857,SMOTE_over
3,1,XG,0.3071820124,0.7904900332,SMOTE_over
6,2,XG,0.1027553784,0.6241177657,SMOTE_over
9,3,XG,0.1271929825,0.6121553885,SMOTE_over
12,4,XG,0.2382495616,0.6537176274,SMOTE_over
0,0,LR,0.2158296673,0.6976744186,TADA
3,1,LR,0.2227309875,0.7147009967,TADA
6,2,LR,0.2129887175,0.7168784029,TADA
9,3,LR,0.2346541209,0.7608604845,TADA
12,4,LR,0.2811028284,0.7447786132,TADA
0,0,KNN,0.2184826857,0.7250830565,TADA
3,1,KNN,0.074224836,0.5823297342,TADA
6,2,KNN,0.2045703901,0.6682798951,TADA
9,3,KNN,0.2011450575,0.6545530493,TADA
12,4,KNN,0.0740358025,0.6090225564,TADA
0,0,DT,0.0236530268,0.5157807309,TADA
3,1,DT,0.2159807659,0.6553156146,TADA
6,2,DT,0.1375297852,0.5931639443,TADA
9,3,DT,0.028174526,0.5084586466,TADA
12,4,DT,0.2583825924,0.6433792815,TADA
0,0,SVMR,0.3105985227,0.8237126246,TADA
3,1,SVMR,0.267854843,0.7302740864,TADA
6,2,SVMR,0.2944824644,0.738354507,TADA
9,3,SVMR,0.3446783857,0.7316207185,TADA
12,4,SVMR,0.2527726311,0.6906850459,TADA
0,0,SVML,0.2296625846,0.7461586379,TADA
3,1,SVML,0.3018688822,0.7120016611,TADA
6,2,SVML,0.3297762507,0.734220609,TADA
9,3,SVML,0.2813961143,0.7197159566,TADA
12,4,SVML,0.4149213051,0.8141186299,TADA
0,0,RF,0.1056715766,0.65625,TADA
3,1,RF,0.1858751779,0.6822051495,TADA
6,2,RF,0.1799999374,0.7564025005,TADA
9,3,RF,0.2183254676,0.7123015873,TADA
12,4,RF,0.261757293,0.6117376775,TADA
0,0,XG,0.3938667854,0.8066860465,TADA
3,1,XG,0.1248724092,0.6247923588,TADA
6,2,XG,0.1275316327,0.6854204477,TADA
9,3,XG,0.2939095475,0.7554302423,TADA
12,4,XG,0.1526289056,0.6167502089,TADA
0,0,LR,-0.0709560698,0.6096345515,DEFAULT
3,1,LR,0.2133633737,0.7003737542,DEFAULT
6,2,LR,0.2531100828,0.7858439201,DEFAULT
9,3,LR,0.2509674318,0.7226399332,DEFAULT
12,4,LR,0.0450189001,0.7798663325,DEFAULT
0,0,KNN,0.1719029399,0.7024501661,DEFAULT
3,1,KNN,0.3045779004,0.6697466777,DEFAULT
6,2,KNN,0.1949310373,0.636317806,DEFAULT
9,3,KNN,0.1379018473,0.6422305764,DEFAULT
